,District,VDC,Direction,Bedroom,Bathroom,Living,Parking_sqft,Road_size_ft,Land_sqft,Price
202,Kathmandu,Dhumbarahi,North,6,2,1,22.0,8.0,342.24,20000000.0
204,Kathmandu,Imadol,Select Direction,8,4,2,170.0,20.0,2737.92,39500000.0
206,Kathmandu,Kapan,South,6,5,2,85.0,13.0,2737.92,22500000.0
208,Kathmandu,Dhapasi,North East,6,4,2,85.0,13.0,1368.96,35000000.0
210,Kathmandu,Sitapaila,South,4,3,1,425.0,20.0,342.24,92500000.0
212,Kathmandu,Bhangal,Select Direction,7,6,2,170.0,12.0,21.39,47000000.0
214,Kathmandu,Kapan,East,7,4,3,85.0,13.0,3080.16,33000000.0
216,Kathmandu,Chyasundole,West,5,4,2,85.0,13.0,1368.96,30000000.0
218,Kathmandu,Budhanilkantha,West,5,4,1,85.0,13.0,2395.68,62500000.0
220,Kathmandu,Pahelopul Kathmandu,South,13,5,1,170.0,20.0,1368.96,38500000.0
222,Kathmandu,Dhumbarahi,East,3,2,1,85.0,13.0,1026.72,24500000.0
224,Kathmandu,Samakhusi,East,8,5,3,85.0,13.0,1711.2,45000000.0
226,Kathmandu,Budhanilkantha,North East,5,5,2,,20.0,10951.68,43000000.0
228,Kathmandu,Karki Event,West,3,3,2,85.0,26.0,1026.72,18500000.0
230,Kathmandu,Kapan,West,5,4,2,22.0,13.0,2053.44,32000000.0
232,Kathmandu,Nayabazar,South,3,3,2,170.0,20.0,4106.88,102000000.0
234,Kathmandu,Chapali,South,5,4,1,85.0,13.0,342.24,40000000.0
236,Kathmandu,Chapali,East,6,4,1,22.0,20.0,5475.84,41000000.0
238,Kathmandu,Balambu,West,4,4,2,170.0,13.0,342.24,28000000.0
240,Kathmandu,Sukedhara,East,4,4,4,22.0,4.0,1368.96,19500000.0
242,Kathmandu,Nayapati,North East,1,1,1,425.0,16.0,16427.52,16000000.0
244,Kathmandu,Kadaghari,South,10,6,1,170.0,20.0,1368.96,75000000.0
246,Kathmandu,Go,Select Direction,7,6,3,85.0,9.0,64.17,18500000.0
248,Kathmandu,Bhangal,East,5,4,2,170.0,16.0,1711.2,47500000.0
250,Kathmandu,Budhanikantha,East,4,4,1,,16.0,342.24,38000000.0
252,Kathmandu,Grandi Villa,East,3,2,1,22.0,15.0,342.24,28000000.0
254,Kathmandu,Bhangal,West,6,4,1,22.0,13.0,85.56,33500000.0
256,Kathmandu,Bhangal,South,6,5,2,22.0,13.0,342.24,31000000.0
